instance,gpu_t_n,gpu_a_n,gpu_t,gpu_a,gpu1,sdd,bdd_minisat_all,cnf2eadt,sts,miniC2D_sharp,cachet,approxMC,approxMC3,sharpSAT,dsharp,c2d,d4,sharpCDCL,countAntom
./01A-1.cnf,902,902,902,902,904,900,900,900,69.9859,900,2.60991,900,900,0.813226,900,900,2.17218,900,0.715514
./01B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02A-1.cnf,902,902,902,902,904,900,900,900,66.4739,900,5.2195,900,900,2.51282,900,900,159.461,900,0.600239
./02A-2.cnf,902,902,902,902,904,900,900,900,92.9682,900,0.631488,900,900,0.770401,900,10.0549,3.94295,900,1.01208
./02A-3.cnf,902,902,902,902,900,458.147,900,653.27,114.706,900,0.345685,900,900,0.464287,900,11.4308,0.441895,900,0.283599
./02B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03A-1.cnf,902,902,902,902,904,900,900,371.884,18.8013,6.1561,0.271018,900,900,0.078057,900,5.68275,0.378807,900,0.314329
./03A-2.cnf,901,901,900,904,904,59.0458,900,15.2014,31.5737,7.76628,0.160817,900,900,0.0580129,900,6.58776,0.216461,900,0.206305
./03B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04A-1.cnf,902,902,902,902,904,900,900,900,72.0354,900,2.08223,900,106.633,0.379749,900,900,201.851,900,0.542138
./04A-2.cnf,902,902,902,902,904,900,900,900,114.36,900,0.370867,900,64.2191,0.156493,900,478.847,5.70038,900,6.28574
./04A-3.cnf,4.32194,4.58559,2.3974,2.33961,0.992089,49.5628,900,2.49244,81.4257,13.3643,0.054105,900,805.97,0.026298,900,12.051,0.033918,900,0.140444
./04B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./05A-1.cnf,902,902,902,902,904,900,900,900,77.4632,900,900,900,900,900,900,900,900,900,900
./05A-2.cnf,4.07769,4.03246,1.60745,1.48138,0.515075,5.80098,0.00892009,0.00617593,28.2846,7.537,0.026743,900,1.64557,0.0225121,900,7.25364,0.0139891,900,0.0762839
./05B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./05B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./05B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./06A-1.cnf,902,902,902,902,904,900,900,900,78.2016,900,26.0734,900,900,7.16245,900,900,14.7055,900,2.42885
./06A-2.cnf,902,902,902,902,904,900,900,900,107.659,900,2.44077,900,86.4831,0.349759,900,198.17,2.22663,900,0.446449
./06A-3.cnf,902,902,902,902,904,900,900,900,172.307,900,1.22081,900,900,1.26264,900,900,900,900,0.585149
./06A-4.cnf,902,902,902,902,904,538.149,900,353.022,155.175,900,0.166611,900,900,0.152253,900,14.4772,0.190348,900,0.273807
./06B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07A-1.cnf,902,902,902,902,904,900,900,900,170.142,900,900,900,900,900,900,900,900,900,900
./07A-2.cnf,902,902,902,902,900,900,900,900,410.643,900,900,900,900,24.4373,900,900,43.2831,900,2.53887
./07A-3.cnf,902,902,902,902,904,900,900,900,741.079,900,900,900,900,18.9929,900,900,900,900,15.672
./07A-4.cnf,902,902,902,902,904,900,900,900,891.151,900,900,900,900,12.0624,900,900,900,900,900
./07A-5.cnf,902,902,902,902,904,900,900,900,491.109,900,0.736058,900,288.078,0.335431,900,24.6191,900,900,0.437729
./07B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-6.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./08A-1.cnf,902,902,902,902,904,900,900,900,195.599,900,900,900,900,900,900,900,900,900,900
./08A-2.cnf,902,902,902,902,904,900,900,900,502.761,900,900,900,900,218.563,900,900,77.1738,900,900
./08A-3.cnf,902,902,902,902,904,900,900,900,538.055,900,900,900,328.225,2.10641,900,900,4.03927,900,0.887775
./08A-4.cnf,902,902,902,902,904,900,900,156.881,352.149,900,0.863417,900,36.0675,0.180478,900,32.244,26.0363,900,0.321841
./08B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09A-1.cnf,902,902,902,902,904,900,900,900,265.255,900,900,900,900,900,900,900,900,900,900
./09A-2.cnf,902,902,902,902,904,900,900,900,580.84,900,26.463,900,900,13.1125,900,900,900,900,2.10566
./09A-3.cnf,902,902,902,902,904,900,900,900,308.228,900,0.682985,900,900,0.355611,900,17.5731,1.2674,900,0.57023
./09B-1.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-2.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-3.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-6.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./10A-1.cnf,902,902,902,902,904,900,900,900,213.677,900,900,900,900,900,900,900,900,900,900
./10A-2.cnf,902,902,902,902,904,900,900,900,355.448,900,900,900,900,900,900,900,900,900,900
