instance,gpu_t_n,gpu_a_n,gpu_t,gpu_a,gpu1,sdd,bdd_minisat,cnf2eadt,sts,miniC2D,cachet,approxmc,approxmc3,sharpSAT,dsharp,c2d,d4,sharpCDCL,countAntom
./01A-1.cnf,902,902,902,902,900,900,900,900,102.876,900,7.77254,900,233.655,88.0849,900,900,900,900,900
./01B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-4.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02A-1.cnf,902,902,902,902,904,900,900,900,106.273,900,900,900,900,262.927,900,900,364.799,900,900
./02A-2.cnf,902,902,902,902,904,900,900,900,176.533,900,900,900,900,45.7488,900,900,428.596,900,900
./02A-3.cnf,902,902,902,902,904,900,900,900,176.47,900,75.176,900,900,0.3082,900,900,3.76132,900,900
./02B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-4.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-5.cnf,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03A-1.cnf,902,902,902,902,904,900,900,272.923,28.7036,900,0.697245,900,900,0.289105,900,900,0.797709,900,900
./03A-2.cnf,902,902,902,902,904,900,900,34.5183,44.0964,900,0.404531,900,900,0.150597,900,900,0.536917,900,900
./03B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-4.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04A-1.cnf,902,902,902,902,904,900,900,900,97.6905,900,11.8431,900,221.686,58.8542,900,900,900,900,10.3549
./04A-2.cnf,902,902,902,902,904,900,900,900,179.681,900,72.6299,900,229.748,5.7281,900,900,247.483,900,900
./04A-3.cnf,902,902,902,902,904,105.941,900,125.98,97.907,900,0.152594,900,900,0.0752421,900,284.506,0.15105,900,900
./04B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
