instance,gpu_t_n,gpu_a_n,g#_t,gpu_a,gpu1,sdd,sdd,bdd_minisat,cnf2eadt,sts,miniC2D_sharp,cachet,approxmc,approxmc3,sharpSAT,dsharp,c2d,d4,sharpCDCL,countAntom
./01A-1.cnf,902,902,902,902,904,900,1,900,900,73.3979,900,13.4624,900,126.814,7.88714,900,900,28.2562,900,6.39021
./01B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-4.cnf,900,900,900,900,900,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-5.cnf,900,900,900,900,900,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./02A-1.cnf,902,902,902,902,904,900,1,900,900,68.3053,900,3.82008,900,900,2.72113,900,900,900,900,10.1576
./02A-2.cnf,902,902,902,902,904,900,1,900,900,94.1021,900,1.3824,900,900,1.44518,900,237.912,9.66192,900,0.738258
./02A-3.cnf,902,902,902,902,904,602.679,0,900,900,136.137,900,0.376343,900,900,0.103124,900,12.4544,0.449302,900,0.481466
./02B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-4.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-5.cnf,900,900,900,900,900,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./03A-1.cnf,902,902,902,902,904,403.769,0,900,900,16.1165,900,0.279639,900,900,0.188928,900,4.66213,0.48585,900,0.450365
./03A-2.cnf,902,902,902,902,904,30.2397,0,900,900,25.6501,5.15397,0.103049,900,900,0.0574271,900,5.12667,0.173352,900,0.38034
./03B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-4.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./04A-1.cnf,902,902,902,902,904,900,1,900,900,72.4777,900,2.08338,900,123.338,0.715,900,900,51.7935,900,4.04383
./04A-2.cnf,902,902,902,902,904,900,1,900,900,105.948,900,0.6201,900,61.7269,0.36793,900,900,705.161,900,1.18275
./04A-3.cnf,4.6114,4.61545,2.422,2.32637,0.752011,11.7208,0,0.012344,0.013524,57.2464,11.0768,0.042762,900,1.95926,0.0272901,900,10.7772,0.019238,900,0.129831
./04B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-4.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./05A-1.cnf,902,902,902,902,904,900,1,900,900,76.2986,900,900,900,900,1.32692,900,900,900,900,900
./05A-2.cnf,902,902,902,902,904,152.557,0,900,213.707,57.278,9.55044,0.160222,900,872.083,0.0762909,900,8.67983,0.612697,900,0.227973
./05B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./05B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./05B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./06A-1.cnf,902,902,902,902,904,900,1,900,900,78.588,900,900,900,900,18.9317,900,900,900,900,15.2486
./06A-2.cnf,902,902,902,902,904,900,1,900,900,115.409,900,32.5409,900,900,0.610678,900,900,38.7534,900,1.50227
./06A-3.cnf,902,902,902,902,904,900,1,900,900,157.222,900,128.32,900,900,8.04413,900,900,7.28894,900,0.544899
./06A-4.cnf,902,902,902,902,904,900,1,900,900,212.157,900,0.503463,900,900,0.327213,900,25.0716,0.615735,900,0.663254
./06B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-3.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./06B-4.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07A-1.cnf,902,902,902,902,904,900,1,900,900,166.268,900,900,900,900,900,900,900,900,900,900
./07A-2.cnf,902,902,902,902,904,900,1,900,900,435.113,900,900,900,900,289.588,900,900,30.267,900,1.83021
./07A-3.cnf,902,902,902,902,904,900,1,900,900,677.578,900,900,900,900,900,900,900,42.7371,900,4.22741
./07A-4.cnf,902,902,902,902,904,900,1,900,900,855.039,900,900,900,900,263.003,900,900,48.3738,900,15.7237
./07A-5.cnf,902,902,902,902,900,900,1,900,900,387.806,94.2053,0.14112,900,900,0.202934,900,20.2664,0.144229,900,0.314643
./07B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-3.cnf,902,902,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-4.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-5.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./07B-6.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./08A-1.cnf,902,902,902,902,904,900,1,900,900,176.175,900,900,900,900,900,900,900,900,900,900
./08A-2.cnf,902,902,902,902,904,900,1,900,900,530.502,900,900,900,900,900,900,900,54.3935,900,900
./08A-3.cnf,902,902,902,902,900,900,1,900,900,457.21,900,11.0987,900,311.541,2.03615,900,900,4.97202,900,3.24664
./08A-4.cnf,902,902,902,902,904,235.719,0,900,900,267.638,900,0.16286,900,900,0.11355,900,900,0.360568,900,0.353262
./08B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-3.cnf,902,902,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./08B-4.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./09A-1.cnf,902,902,902,902,904,900,1,900,900,271.596,900,900,900,900,900,900,900,900,900,900
./09A-2.cnf,902,902,902,902,904,900,1,900,900,529.071,900,133.916,900,900,54.6308,900,900,573.024,900,132.321
./09A-3.cnf,902,902,902,902,904,262.896,0,900,900,245.781,900,2.70281,900,426.73,0.119092,900,15.1418,0.275545,900,0.383793
./09B-1.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-2.cnf,902,902,902,902,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-3.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
./09B-4.cnf,900,900,900,900,904,900,1,900,900,900,900,900,900,900,900,900,900,900,900,900
