instance,gpusat_t_n,gpusat_a_n,gpusat_t,gpusat_a,gpusat1,sdd,bdd_minisat,cnf2eadt,sts,miniC2D,cachet,approxmc,approxmc3,sharpSAT,dsharp,c2d,d4,sharpCDCL,countAntom
./01A-1.cnf,902,902,902,902,904,900,900,900,144.786,900,900,900,305.809,2.69685,900,900,153.895,900,1.29356
./01B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-4.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./01B-5.cnf,902,902,900,900,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02A-1.cnf,902,902,902,902,900,900,900,900,149.469,900,900,900,900,491.346,900,900,900,900,18.6894
./02A-2.cnf,902,902,902,902,904,900,900,900,351.348,900,900,900,900,460.922,900,900,12.0691,900,900
./02A-3.cnf,902,902,902,902,904,900,900,900,576.794,900,12.6414,900,551.723,7.51787,900,900,900,900,900
./02B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-4.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./02B-5.cnf,902,902,900,900,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03A-1.cnf,902,902,902,902,904,900,900,91.1251,55.5103,900,370.042,900,76.6289,0.257003,900,90.8955,900,900,0.48271
./03A-2.cnf,902,902,902,902,900,900,900,274.845,95.7181,900,900,900,64.8806,0.127919,900,900,900,900,0.399365
./03B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./03B-4.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04A-1.cnf,902,902,902,902,904,900,900,900,162.272,900,900,900,245.409,1.56643,900,900,900,900,5.20327
./04A-2.cnf,902,902,902,902,904,900,900,900,382.292,900,4.99419,900,900,1.48155,900,900,3.56615,900,40.89
./04A-3.cnf,902,902,902,902,904,900,900,900,553.132,900,5.14305,900,115.38,0.498478,900,900,14.3231,900,157.579
./04B-1.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-2.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
./04B-3.cnf,902,902,902,902,904,900,900,900,900,900,900,900,900,900,900,900,900,900,900
