instance,gpusat_t,gpusat_a,gpusat1,miniC2D,query_dnnf,sts,Cachet-wmc,d4
./4step.cnf,0.494989,0.413139,0.229964,0.807601,0.00981093,0.679688,0.018422,0.0221321
./50-10-1-q.cnf,1.15868,1.05282,0.547843,2.02492,3.16864,7.6391,900,3.47111
./50-10-10-q.cnf,0.9953,0.886465,0.491971,1.24023,1.25796,7.56543,840.336,1.3872
./50-10-2-q.cnf,1.30553,1.1708,0.551434,1.37793,21.7815,8.1485,900,20.6251
./50-10-3-q.cnf,1.04632,0.922957,0.557046,1.1523,7.71437,7.7699,900,7.97756
./50-10-4-q.cnf,1.11522,0.98092,0.544474,0.792959,0.647545,6.94134,900,0.753464
./50-10-5-q.cnf,1.03843,0.912386,0.519251,0.86458,0.434028,6.53476,42.2086,0.571823
./50-10-6-q.cnf,1.04817,0.923675,0.564847,1.06605,3.83327,7.75929,900,4.28202
./50-10-7-q.cnf,1.02884,0.891724,0.527041,0.999882,1.97012,7.93907,900,2.54725
./50-10-8-q.cnf,1.12555,1.01067,0.504985,1.59501,3.01432,7.31326,368.514,3.29094
./50-10-9-q.cnf,1.09381,0.992668,0.575805,1.2107,1.39314,6.80668,860.424,1.52174
./50-12-1-q.cnf,1.2695,1.14185,0.673788,1.15841,8.42038,14.5145,900,8.52488
./50-12-10-q.cnf,1.53029,1.41323,0.682304,1.94105,45.9438,16.4668,900,51.1132
./50-12-2-q.cnf,1.44312,1.35302,0.672795,1.76812,6.9095,14.6552,900,7.13899
./50-12-3-q.cnf,1.32139,1.17102,0.640018,1.87304,26.4278,17.0953,900,22.9534
./50-12-4-q.cnf,1.35367,1.23253,0.694156,2.1815,58.5405,16.9587,900,57.3879
./50-12-5-q.cnf,1.58687,1.48007,0.718706,2.71275,13.0099,17.2828,900,14.1543
./50-12-6-q.cnf,1.22774,1.12624,0.6775,1.6891,4.7504,13.4164,900,4.63544
./50-12-7-q.cnf,1.44812,1.26948,0.689576,2.03402,28.8807,16.3876,900,29.9553
./50-12-8-q.cnf,1.52764,1.36634,0.762742,1.27367,34.3226,17.5285,900,30.8601
./50-12-9-q.cnf,1.38513,1.19881,0.652845,1.95016,8.80002,16.7222,900,10.2019
./50-14-1-q.cnf,1.78865,1.58177,0.925447,6.71395,900,28.0243,900,293.687
./50-14-10-q.cnf,1.9156,1.7088,0.930795,5.18248,900,26.8753,900,212.696
./50-14-2-q.cnf,1.64927,1.55891,0.83485,6.167,50.063,26.8346,900,48.3773
./50-14-3-q.cnf,1.76737,1.63824,0.911856,8.20935,900,28.0993,900,535.196
./50-14-4-q.cnf,1.58633,1.44876,0.885836,2.06174,30.6035,26.5534,900,25.9246
./50-14-5-q.cnf,1.93065,1.7369,1.00992,10.3171,101.448,33.3794,900,97.6551
./50-14-6-q.cnf,1.46879,1.29677,1.09043,3.84222,47.9679,26.8652,900,46.2315
./50-14-7-q.cnf,1.93982,1.77949,0.923523,27.4068,900,32.9227,900,158.679
./50-14-8-q.cnf,1.6173,1.41854,0.89016,2.87754,98.657,32.3452,900,95.1239
./50-14-9-q.cnf,1.70207,1.53939,0.924591,4.95511,900,27.9169,900,502.492
./50-16-1-q.cnf,2.09489,1.90594,1.24864,11.079,900,57.6273,900,900
./50-16-10-q.cnf,2.47595,2.17348,1.28031,42.543,900,59.6001,900,900
./50-16-2-q.cnf,2.51401,2.17423,2.9052,22.9348,900,57.231,900,900
./50-16-3-q.cnf,2.00306,1.74356,1.12094,84.3082,900,58.3644,900,900
./50-16-4-q.cnf,2.20993,1.96737,1.71115,43.3152,900,56.4353,900,900
./50-16-5-q.cnf,2.30522,2.09705,1.23692,14.5424,900,57.5963,900,900
./50-16-6-q.cnf,2.16531,1.95117,1.24651,5.68708,900,54.7225,900,865.63
./50-16-7-q.cnf,2.03571,1.82335,1.17586,5.80948,900,56.3769,900,403.191
./50-16-8-q.cnf,2.10375,1.90753,1.13575,6.44052,900,56.0191,900,900
./50-16-9-q.cnf,2.38943,2.08721,1.31021,22.681,900,59.8325,900,900
./50-18-1-q.cnf,3.01612,2.63997,2.13976,285.861,900,91.0831,900,900
./50-18-10-q.cnf,3.23201,2.82928,1.7624,78.7305,900,77.3699,900,900
./50-18-2-q.cnf,2.69055,2.25948,1.49813,43.3847,900,79.5488,900,900
./50-18-3-q.cnf,2.60876,2.35055,1.35998,4.65449,900,80.8306,900,900
./50-18-4-q.cnf,2.48751,2.25756,1.42385,12.8172,900,79.8559,900,900
./50-18-5-q.cnf,2.80995,2.59195,1.49423,44.6685,900,95.0979,900,900
./50-18-6-q.cnf,2.7966,2.52657,1.50911,14.834,900,76.6047,900,900
./50-18-7-q.cnf,2.84393,2.60966,1.53818,19.9787,900,92.3252,900,900
./50-18-8-q.cnf,2.67064,2.41989,2.14198,20.1451,900,86.5512,900,900
./50-18-9-q.cnf,2.88883,2.53597,1.74075,119.897,900,96.6807,900,900
./50-20-1-q.cnf,4.13832,3.40908,5.75177,286.74,900,152.416,900,900
./50-20-10-q.cnf,3.84125,3.25899,2.16701,604.918,900,148.573,900,900
./50-20-2-q.cnf,4.34286,3.4659,3.13769,180.416,900,148.615,900,900
./50-20-3-q.cnf,4.74272,3.68824,2.64257,267.858,900,137.618,900,900
./50-20-4-q.cnf,3.70625,3.18444,2.26196,450.377,900,148.122,900,900
./50-20-5-q.cnf,4.28241,3.60397,3.26622,128.665,900,148.413,900,900
