instance,gpu_t,gpu_a,gpu1,miniC2D,query_dnnf,sts,cachet,d4
./4step.cnf,0.511154,0.427242,0.278674,1.39537,0.00799006,0.706424,0.0282801,0.0189241
./50-10-1-q.cnf,0.992463,0.853782,0.501129,4.66324,4.20596,8.23804,900,4.72697
./50-10-10-q.cnf,1.03463,0.955197,0.494285,1.04694,1.70955,8.56115,900,1.94687
./50-10-2-q.cnf,1.16979,1.05182,3.17351,13.0235,8.5586,8.46234,900,8.7789
./50-10-3-q.cnf,1.02348,0.934554,0.534718,3.38709,6.6088,8.23523,900,8.2092
./50-10-4-q.cnf,1.11132,0.964273,0.535857,1.45653,0.875777,8.65836,900,0.962833
./50-10-5-q.cnf,0.936248,0.849322,0.546346,1.21659,0.801028,7.15432,131.383,0.955111
./50-10-6-q.cnf,1.02754,0.939708,0.522504,2.20499,8.59012,8.39705,900,9.94291
./50-10-7-q.cnf,1.07315,0.981955,0.512711,1.10145,4.46098,8.14441,900,5.91201
./50-10-8-q.cnf,1.18673,1.05857,0.544105,0.996738,1.52128,8.24607,900,1.87592
./50-10-9-q.cnf,1.07387,0.960675,0.53829,1.29961,4.86006,8.26219,900,5.1211
./50-12-1-q.cnf,1.4368,1.25825,0.692405,8.13649,44.5578,15.4668,900,50.865
./50-12-10-q.cnf,1.44497,1.2576,0.691843,6.50831,48.1651,17.8932,900,49.8223
./50-12-2-q.cnf,1.38329,1.148,0.675843,10.6984,9.90918,16.0256,900,13.9415
./50-12-3-q.cnf,1.40997,1.21861,0.690362,17.3626,33.2645,18.088,900,39.0727
./50-12-4-q.cnf,1.3522,1.20998,0.711079,95.071,33.0256,18.5334,900,31.7714
./50-12-5-q.cnf,1.66535,1.51291,0.724874,6.47235,52.6117,18.1355,900,47.5153
./50-12-6-q.cnf,1.28889,1.18094,0.699228,4.89761,4.79016,15.3389,900,4.94552
./50-12-7-q.cnf,1.41892,1.22442,0.725429,900,900,17.994,900,135.781
./50-12-8-q.cnf,1.373,1.27233,0.727311,11.2986,91.5567,17.7529,900,92.6842
./50-12-9-q.cnf,1.42185,1.24091,0.689684,7.54208,121.752,17.7533,900,131.085
./50-14-1-q.cnf,1.84522,1.57102,1.12559,156.006,900,35.1888,900,766.412
./50-14-10-q.cnf,1.98471,1.68106,1.0516,102.793,900,30.3582,900,486.842
./50-14-2-q.cnf,1.83994,1.68426,1.11358,174.111,900,30.3612,900,205.801
./50-14-3-q.cnf,1.90797,1.61972,1.06709,33.4557,900,35.2306,900,551.32
./50-14-4-q.cnf,1.69699,1.48307,1.03649,287.828,900,29.1312,900,162.121
./50-14-5-q.cnf,1.93944,1.70394,1.02118,175.396,900,35.8366,900,311.359
./50-14-6-q.cnf,1.71359,1.55505,1.07829,12.5573,74.3746,30.1519,900,70.9889
./50-14-7-q.cnf,2.05024,1.75675,1.3737,900,900,35.7418,900,357.235
./50-14-8-q.cnf,1.82445,1.57754,1.08693,84.2304,900,34.4438,900,137.915
./50-14-9-q.cnf,1.92043,1.58491,1.04747,136.127,900,29.1573,900,292.599
./50-16-1-q.cnf,4.19105,3.03182,4.99352,21.1791,900,66.4784,900,900
./50-16-10-q.cnf,3.83649,2.90402,2.54305,900,900,63.8418,900,900
./50-16-2-q.cnf,4.01607,2.9156,2.03224,490.168,900,61.1462,900,900
./50-16-3-q.cnf,3.28589,2.66772,3.61358,900,900,65.6026,900,900
./50-16-4-q.cnf,3.9337,2.81379,5.98805,49.6795,900,61.2795,900,900
./50-16-5-q.cnf,3.70158,2.80801,2.2308,326.45,900,59.7356,900,900
./50-16-6-q.cnf,4.11878,3.06601,4.97087,773.401,900,65.1959,900,900
./50-16-7-q.cnf,3.48187,2.55176,3.57629,74.484,900,62.4681,900,900
./50-16-8-q.cnf,4.19217,2.93923,4.92645,98.7375,900,64.0169,900,900
./50-16-9-q.cnf,3.32367,2.51185,3.38245,900,900,65.251,900,900
./50-18-1-q.cnf,19.8559,10.0302,904,900,900,104.255,900,900
./50-18-10-q.cnf,24.5054,11.1662,53.7236,900,900,89.5748,900,900
./50-18-2-q.cnf,25.2229,13.2772,34.0177,461.104,900,91.3419,900,900
./50-18-3-q.cnf,12.4544,7.29032,607.688,223.044,900,87.4881,900,900
./50-18-4-q.cnf,24.0663,12.213,12.757,221.793,900,90.4891,900,900
./50-18-5-q.cnf,9.92246,6.82766,18.6467,900,900,109.024,900,900
./50-18-6-q.cnf,23.3686,11.9377,28.4383,900,900,89.8788,900,900
./50-18-7-q.cnf,14.0063,8.43578,11.12,900,900,103.507,900,900
./50-18-8-q.cnf,13.0216,7.56006,324.283,294.321,900,101.417,900,900
./50-18-9-q.cnf,20.7696,10.8038,10.829,900,900,107.658,900,900
