file,time,bags,width,vertices
./01A-1.cnf,2.27934,1957,230,2286
./01B-1.cnf,29.7608,8566,547,9159
./01B-2.cnf,75.2128,15233,994,16276
./01B-3.cnf,143.703,21835,1368,23393
./01B-4.cnf,0.0201391,1,-1,0
./01B-5.cnf,0.0152199,1,-1,0
./02A-1.cnf,2.25969,1930,228,2226
./02A-2.cnf,2.25865,3551,228,3857
./02A-3.cnf,1.36784,5294,180,5488
./02B-1.cnf,29.7222,8566,547,9159
./02B-2.cnf,69.4454,15176,1018,16276
./02B-3.cnf,144.05,21835,1368,23393
./02B-4.cnf,239.652,28424,1542,30510
./02B-5.cnf,0.014665,1,-1,0
./03A-1.cnf,0.977172,1148,164,1466
./03A-2.cnf,0.606907,2335,133,2539
./03B-1.cnf,24.609,7820,525,8403
./03B-2.cnf,57.2367,13885,887,14924
./03B-3.cnf,111.284,19922,948,21445
./03B-4.cnf,182.047,25979,1294,27966
./04A-1.cnf,2.29145,1953,201,2223
./04A-2.cnf,2.33179,3608,201,3882
./04A-3.cnf,0.432664,5407,109,5541
./04B-1.cnf,43.8656,10283,607,10947
./04B-2.cnf,103.109,18258,1116,19510
./04B-3.cnf,204.924,26262,1563,28073
./04B-4.cnf,378.682,34261,1989,36636
./05A-1.cnf,2.19653,2015,229,2286
./05A-2.cnf,0.543434,3853,114,3977
./05B-1.cnf,43.1546,10311,607,10978
./05B-2.cnf,101.639,18289,1114,19541
./05B-3.cnf,208.45,26297,1563,28104
./06A-1.cnf,2.44732,1952,229,2226
./06A-2.cnf,1.96682,3653,196,3857
./06A-3.cnf,2.03616,5283,196,5488
./06A-4.cnf,1.82372,6917,197,7119
./06B-1.cnf,41.9774,10309,609,10978
./06B-2.cnf,100.856,18289,1114,19541
./06B-3.cnf,209.092,26298,1563,28104
./06B-4.cnf,390.362,34296,1987,36667
./07A-1.cnf,3.56499,2705,270,3067
./07A-2.cnf,5.74475,4789,266,5388
./07A-3.cnf,8.01041,6922,264,7709
./07A-4.cnf,5.39379,9272,236,10030
./07A-5.cnf,2.55152,12126,219,12351
./07B-1.cnf,49.5634,12130,653,12836
./07B-2.cnf,121.652,21609,1133,22947
./07B-3.cnf,256.655,31120,1625,33058
./07B-4.cnf,456.138,40663,2108,43169
./07B-5.cnf,293.777,50293,771,53280
./07B-6.cnf,321.437,59902,605,63391
./08A-1.cnf,3.64148,2759,271,3127
./08A-2.cnf,6.40228,4915,268,5508
./08A-3.cnf,4.75913,7312,264,7889
./08A-4.cnf,1.27733,10054,169,10270
./08B-1.cnf,51.534,12128,663,12836
./08B-2.cnf,120.261,21598,1133,22947
./08B-3.cnf,255.883,31113,1625,33058
./08B-4.cnf,475.741,40643,2184,43169
./09A-1.cnf,6.77732,3324,303,3697
./09A-2.cnf,7.02135,6093,298,6559
./09A-3.cnf,1.36541,9251,161,9421
./09B-1.cnf,83.4986,15468,754,16295
./09B-2.cnf,203.215,27663,1326,29220
./09B-3.cnf,427.678,39892,1889,42145
./09B-4.cnf,767.382,52113,2468,55070
./09B-5.cnf,0.0129359,1,-1,0
./09B-6.cnf,0.0271089,1,-1,0
./10A-1.cnf,5.60766,2816,298,3169
./10A-2.cnf,5.60451,5017,297,5363
./10A-3.cnf,5.7005,7209,294,7557
./10A-4.cnf,3.88239,9400,269,9751
./10B-1.cnf,100.551,14508,806,15390
./10B-10.cnf,0.012972,1,-1,0
./10B-11.cnf,0.016434,1,-1,0
./10B-2.cnf,236.264,25305,1449,26920
./10B-3.cnf,479.572,36105,2056,38450
./10B-4.cnf,866.293,46897,2663,49980
./10B-5.cnf,492.624,57824,769,61510
./10B-6.cnf,621.896,68697,769,73040
./10B-7.cnf,741.802,79584,769,84570
./10B-8.cnf,0.012331,1,-1,0
./10B-9.cnf,0.015508,1,-1,0
./11A-1.cnf,4.3227,2284,291,2712
./11A-2.cnf,5.01807,4021,293,4577
./11A-3.cnf,4.66976,5817,295,6442
./11A-4.cnf,1.30266,7956,245,8307
./11B-1.cnf,106.438,17732,807,18599
./11B-2.cnf,252.636,31199,1450,32799
./11B-3.cnf,514.831,44669,2057,46999
./11B-4.cnf,0.0112899,1,-1,0
./11B-5.cnf,0.0180861,1,-1,0
./12A-1.cnf,4.30359,2284,291,2712
./12A-2.cnf,5.12126,4022,294,4577
./12A-3.cnf,5.14579,5803,289,6442
./12A-4.cnf,1.43855,7956,245,8307
./12B-1.cnf,80.0637,16603,759,17433
./12B-2.cnf,185.854,29197,1346,30710
./12B-3.cnf,381.849,41789,1893,43987
./12B-4.cnf,650.616,54327,2057,57264
./12B-5.cnf,368.139,67000,716,70541
./12B-6.cnf,0.018089,1,-1,0
./13A-1.cnf,11.1886,4420,390,4857
./13A-2.cnf,8.64366,8158,325,8735
./13A-3.cnf,6.83156,12071,305,12613
./13A-4.cnf,1.63786,16280,153,16491
./13B-1.cnf,123.799,20160,839,21070
./13B-2.cnf,0.013385,1,-1,0
./13B-3.cnf,630.244,52169,2182,54756
./13B-4.cnf,1146.68,68190,2856,71599
./13B-5.cnf,0.01436,1,-1,0
./14A-1.cnf,18.2654,6067,459,6592
./14A-2.cnf,15.9598,10916,472,11468
./14A-3.cnf,8.43065,15978,324,16344
./15A-1.cnf,18.5644,6171,459,6713
./15A-2.cnf,26.6647,10854,680,11649
./15A-3.cnf,24.0635,15741,623,16585
./15A-4.cnf,8.95691,20997,297,21521
./15B-1.cnf,0.017865,1,-1,0
./15B-2.cnf,0.0167591,1,-1,0
./15B-3.cnf,0.0200211,1,-1,0
./15B-4.cnf,0.0192079,1,-1,0
./15B-5.cnf,0.0195821,1,-1,0
./17A-1.cnf,15.3458,4913,445,5421
./17A-2.cnf,20.0997,8921,531,9607
./17A-3.cnf,24.1669,12978,490,13793
./17A-4.cnf,27.9582,16856,439,17979
./17A-5.cnf,15.4799,21457,411,22165
./17A-6.cnf,13.0722,25744,378,26351
./17B-1.cnf,49.2814,12222,652,12925
./17B-2.cnf,120.547,21699,1189,23036
./17B-3.cnf,247.627,31219,1669,33147
./17B-4.cnf,465.236,40761,2180,43258
./17B-5.cnf,280.867,50387,771,53369
./18A-1.cnf,24.7395,8164,524,8788
./18A-2.cnf,59.3659,12666,884,13754
./18A-3.cnf,0.0147061,1,-1,0
./18A-4.cnf,0.015817,1,-1,0
./4step.cnf,0.0216509,156,5,165
./50-10-1-q.cnf,0.0421131,438,13,460
./50-10-10-q.cnf,0.0398769,441,11,460
./50-10-2-q.cnf,0.0481819,442,12,460
./50-10-3-q.cnf,0.0366411,439,12,460
./50-10-4-q.cnf,0.0293719,445,9,460
./50-10-5-q.cnf,0.0472489,446,9,460
./50-10-6-q.cnf,0.047093,443,9,460
./50-10-7-q.cnf,0.0395871,439,12,460
./50-10-8-q.cnf,0.0315469,446,9,460
./50-10-9-q.cnf,0.040472,443,10,460
./50-12-1-q.cnf,0.0538229,650,12,672
./50-12-10-q.cnf,0.0619419,640,13,672
./50-12-2-q.cnf,0.046658,652,11,672
./50-12-3-q.cnf,0.057289,645,15,672
./50-12-4-q.cnf,0.0538271,645,12,672
./50-12-5-q.cnf,0.0648151,645,13,672
./50-12-6-q.cnf,0.0599209,645,13,672
